Brand,Model,Price,Ratings,Capacity(kg),Machine Type,Load Type,Warranty(Years)
InnoQ,| Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automati...,7195,4.2,7.0,,,1.0
InnoQ,| Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automa...,7295,4.2,7.5,,,1.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Sansui,NA,7690,4.2,7.0,Semi Automatic,Top Load,2.0
Sansui,NA,9990,4.0,9.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
VW,NA,8499,4.4,8.5,Semi Automatic,Top Load,
MarQ,by Flipkart Rating Innowash Range Maroon W...,8190,4.3,7.5,Semi Automatic,Top Load,2.0
Thomson,Aqua Magic Grande Series with Floral Toughened Glass with Soft Closure and Double...,10999,4.0,10.0,,,2.0
Voltas,Beko by A Tata Product Maroon,14080,4.0,14.0,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Haier,Oxyi Dry Technology 1300 RPM Spray Function Wash Programs Magic Filter Rat Mesh Semi A...,10990,4.3,8.0,,,2.0
Whirlpool,With Faster Drying,14890,4.4,11.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Samsung,AI Control Wi-Fi Digital Inverter wi...,29490,4.2,7.0,Fully Automatic,Front Load,2.0
Thomson,PureWash with Stainless Steel Drum Magic Filter and Multiple Wash Programs Fully Automat...,12499,3.9,8.0,,,2.0
Samsung,AI Ecobubble Super Speed Wi-Fi Hygiene Steam Digital Inverter Motor Fully Au...,42998,4.2,12.0,,,2.0
Samsung,NA,13990,4.4,8.5,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife with In-built Heater,24490,4.1,10.5,Fully Automatic,Front Load,
Voltas,Beko with In-built Heater,19990,4.2,10.0,Fully Automatic,Top Load,1.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
MarQ,by Flipkart Maroon,10190,4.3,10.0,Semi Automatic,Top Load,2.0
Thomson,Aqua Magic Grande Series with Floral Toughened Glass and Double Waterfall Semi Aut...,8999,4.0,8.0,,,2.0
Voltas,Beko by A Tata Product,10976,4.3,8.5,Semi Automatic,Top Load,
Whirlpool,Inverter 100+ Tough Stains Steam Technology Washing...,23990,4.1,7.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
realme,TechLife MegaWash Range,14290,4.2,9.0,Fully Automatic,Top Load,2.0
LG,Electronics Maroon,15999,4.4,10.5,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Thomson,PureWash with Stainless Steel Drum Magic Filter and Multiple Wash Programs Fully Automat...,11499,4.0,7.0,,,2.0
